Date,Product,Price,Quantity
2045-01-01,Microphone,112.55,5
2045-01-02,Microphone,158.05,7
2045-01-03,Table,50.02,1
2045-01-04,Microphone,95.35,7
2045-01-05,Phone,72.01,6
2045-01-06,Table,63.85,14
2045-01-07,Table,77.94,2
2045-01-08,Tablet,101.83,3
2045-01-09,Microphone,109.52,2
2045-01-10,Microphone,130.82,6
2045-01-11,Tablet,112.88,5
2045-01-12,Microphone,152.78,11
2045-01-13,Camera,80.67,1
2045-01-14,Tablet,181.72,8
2045-01-15,Phone,54.11,14
2045-01-16,Phone,150.57,9
2045-01-17,Phone,112.6,10
2045-01-18,Tablet,133.8,6
2045-01-19,Phone,71.06,8
2045-01-20,Camera,79.72,1
2045-01-21,Table,170.11,10
2045-01-22,Tablet,195.24,4
2045-01-23,Table,97.01,10
2045-01-24,Table,153.85,2
2045-01-25,Camera,181.46,14
2045-01-26,Microphone,184.19,5
2045-01-27,Camera,62.76,5
2045-01-28,Table,55.86,12
2045-01-29,Camera,75.47,7
2045-01-30,Phone,181.72,14
2045-01-31,Camera,64.75,9
2045-02-01,Tablet,113.17,12
2045-02-02,Tablet,193.68,9
2045-02-03,Phone,129.97,12
2045-02-04,Table,153.78,10
2045-02-05,Camera,97.33,3
2045-02-06,Tablet,152.98,8
2045-02-07,Tablet,175.19,6
2045-02-08,Microphone,52.74,6
2045-02-09,Camera,162.52,5
2045-02-10,Tablet,198.33,6
2045-02-11,Table,162.22,9
2045-02-12,Microphone,92.07,6
2045-02-13,Phone,168.39,9
2045-02-14,Microphone,65.48,14
2045-02-15,Table,117.18,12
2045-02-16,Table,186.29,2
2045-02-17,Microphone,94.04,2
2045-02-18,Tablet,93.17,14
2045-02-19,Tablet,69.5,9
2045-02-20,Tablet,52.91,14
2045-02-21,Table,151.83,8
2045-02-22,Camera,81.74,1
2045-02-23,Table,89.83,13
2045-02-24,Camera,123.74,11
2045-02-25,Phone,58.0,14
2045-02-26,Phone,136.12,4
2045-02-27,Table,72.01,5
2045-02-28,Microphone,138.4,3
2045-03-01,Table,154.96,1
2045-03-02,Table,65.35,14
2045-03-03,Tablet,112.11,12
2045-03-04,Microphone,154.16,4
2045-03-05,Phone,112.13,6
2045-03-06,Table,57.49,14
2045-03-07,Microphone,130.38,2
2045-03-08,Table,149.57,3
2045-03-09,Phone,127.23,5
2045-03-10,Microphone,191.69,4
2045-03-11,Tablet,137.98,1
2045-03-12,Phone,185.51,7
2045-03-13,Camera,70.62,1
2045-03-14,Microphone,70.89,14
2045-03-15,Phone,171.11,13
2045-03-16,Tablet,109.65,8
2045-03-17,Camera,74.8,3
2045-03-18,Table,189.13,13
2045-03-19,Camera,102.16,11
2045-03-20,Microphone,162.62,9
2045-03-21,Microphone,158.9,14
2045-03-22,Camera,182.5,4
2045-03-23,Phone,143.55,1
2045-03-24,Tablet,162.64,9
2045-03-25,Phone,102.33,5
2045-03-26,Table,90.49,14
2045-03-27,Tablet,184.38,3
2045-03-28,Phone,114.21,10
2045-03-29,Table,194.73,1
2045-03-30,Microphone,149.52,13
2045-03-31,Table,143.25,4
2045-04-01,Microphone,67.21,9
2045-04-02,Tablet,192.42,2
2045-04-03,Table,117.49,11
2045-04-04,Phone,136.76,5
2045-04-05,Phone,111.22,13
2045-04-06,Table,85.55,12
2045-04-07,Camera,185.51,4
2045-04-08,Phone,136.05,4
2045-04-09,Camera,50.43,12
2045-04-10,Camera,142.57,11
